incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1410,311,1,87.30584,44.2181,202409100249,10.87,70.27,0,96300,0,196.2,196.2,196.2,0,0.8,0.5,444.6,22040,0,0,10.77,0,404
1411,311,1,87.30584,44.2181,202409100349,10.56,74.02,0,96260,0,217.4,217.4,217.4,0.4,0.6,0.5,444.6,22040,0,0,10.56,0,389
1412,311,1,87.30584,44.2181,202409100449,10.05,77.69,0,96280,0,180,216.8,191.8,0.8,1.1,0.9,444.6,22040,0,0,10.07,0,394
1413,311,1,87.30584,44.2181,202409100549,10.03,77.85,0,96260,0,213.1,220.9,215.5,0.7,1.3,1.2,444.6,22040,0,0,9.85,0,386
1414,311,1,87.30584,44.2181,202409100649,8.51,80.69,0,96300,0,208.9,246.8,226.8,0.7,1.3,1.1,444.6,22040,0,0,8.59,0,388
1415,311,1,87.30584,44.2181,202409100749,9.84,75.37,4,96340,330,215.5,224.9,222.7,1.1,1.3,1.2,444.6,22040,0,0,9.6,0,387
1416,311,1,87.30584,44.2181,202409100849,10.59,74.24,81,96400,17595,209.7,230.2,220.1,0.7,1,0.9,444.6,22040,0,0,10.7,0,383
1417,311,1,87.30584,44.2181,202409100949,13.39,70.84,452,96400,40790,230.2,261.2,240.2,0.6,1,0.9,444.6,22040,0,0,14.95,0,374
1418,311,1,87.30584,44.2181,202409101049,17.19,54.17,800,96410,58845,318.3,318.3,318.3,0,0,0,444.6,22040,0,0,18.78,0,364
1419,311,1,87.30584,44.2181,202409101149,19.64,46.89,1072,96390,71585,0,355.9,0.7,1.9,2.5,2.2,444.6,22040,0,0,20.54,0,364
1420,311,1,87.30584,44.2181,202409101249,22,33.65,1194,96310,85240,32,84.6,59.7,1,1.5,1.2,444.6,22040,0,0,22.5,0,399
1421,311,1,87.30584,44.2181,202409101349,23.08,28.99,1364,96220,86480,35.1,53.9,44.9,2.2,2.9,2.5,444.6,22040,0,0,23.62,0,352
1422,311,1,87.30584,44.2181,202409101449,23.82,27.64,1336,96150,87025,22.8,36.3,29.9,2.7,3.1,2.9,444.6,22040,0,0,24.47,0,351
1423,311,1,87.30584,44.2181,202409101549,24.4,24.62,1361,96080,94245,3.3,357.9,358.5,2.3,3,2.6,444.6,22040,0,0,25.19,0,349
1424,311,1,87.30584,44.2181,202409101649,24.72,22.2,827,96040,60030,351.4,351.4,351.4,0,0.9,0.5,444.6,22040,0,0,26.05,0,348
1425,311,1,87.30584,44.2181,202409101749,24.55,26.16,349,96010,20635,318,323.1,320.55,2.5,3.4,2.9,444.6,22040,0,0,24.93,0,343
1426,311,1,87.30584,44.2181,202409101849,24.21,27.38,290,96020,17015,239.7,259.6,251,1.2,1.4,1.3,444.6,22040,0,0,24.47,0,341
1427,311,1,87.30584,44.2181,202409101949,23.13,31.37,102,96030,5625,277,300.8,284.9,2.1,2.7,2.3,444.6,22040,0,0,23.19,0,343
1428,311,1,87.30584,44.2181,202409102049,21.21,35.87,2,96070,170,265.2,270.9,268.05,1.4,2,1.7,444.6,22040,0,0,21.09,0,345
1429,311,1,87.30584,44.2181,202409102249,18.32,43.02,0,96200,0,263.6,275.1,267.7,1.3,1.9,1.5,444.6,22040,0,0,18.12,0,353
1430,311,1,87.30584,44.2181,202409102349,17.36,47.31,0,96210,0,236.2,247.1,240.4,1.4,1.7,1.5,444.6,22040,0,0,17.14,0,356
1431,311,1,87.30584,44.2181,202409110049,15.82,53.5,0,96250,0,222.8,266,233.3,1.8,2.6,2.1,444.6,22040,0,0,15.77,0,363
1432,311,1,87.30584,44.2181,202409110149,15.97,53.99,0,96260,0,242.8,268.4,253.6,1.8,2.9,2.1,444.6,22040,0,0,15.79,0,358
1433,311,1,87.30584,44.2181,202409110249,15.5,57.48,0,96280,0,229.3,239.7,234,1.5,1.8,1.7,444.6,22040,0,0,15.33,0,358
1434,311,1,87.30584,44.2181,202409110349,14.8,60.87,0,96260,0,231.4,243,235.9,1.4,2,1.7,444.6,22040,0,0,14.6,0,367
1435,311,1,87.30584,44.2181,202409110449,14.47,63.03,0,96250,0,231.3,240.7,234.9,2,2.6,2.3,444.6,22040,0,0,14.45,0,362
1436,311,1,87.30584,44.2181,202409110549,15.25,61.02,0,96240,0,230.7,242.2,236.5,1.4,2.1,1.7,444.6,22040,0,0,15.2,0,361
1437,311,1,87.30584,44.2181,202409110649,15.34,64.18,0,96210,0,208.6,215.8,210.8,0.9,1.1,1,444.6,22040,0,0,15.28,0,375
1438,311,1,87.30584,44.2181,202409110749,14.41,69.11,2,96240,175,216.8,224.9,219.2,1.1,1.4,1.2,444.6,22040,0,0,14.46,0,378
1439,311,1,87.30584,44.2181,202409110849,14.78,66.56,78,96270,7720,202.4,214.9,207.5,1.3,1.6,1.5,444.6,22040,0,0,14.64,0,368
1440,311,1,87.30584,44.2181,202409110949,17.6,59.48,494,96240,43130,228.5,251.3,240,1.3,1.7,1.5,444.6,22040,0,0,18.72,0,356
1441,311,1,87.30584,44.2181,202409111049,20.04,47.34,808,96220,55880,268.6,292.7,284.8,0.6,1,0.8,444.6,22040,0,0,20.82,0,348
1442,311,1,87.30584,44.2181,202409111149,22.59,37.08,956,96190,57735,327.2,348.5,334.5,2,3.2,2.4,444.6,22040,0,0,23.68,0,348
